Model;Prompt;Repetition;Success;Feedback_Round_0;Feedback_Round_1;Feedback_Round_2;Feedback_Round_3;Feedback_Round_4;Feedback_Round_5;String Handling;List or Array Operation;Mathematical Calculation;Logical Condition;ABAP Database Operation
claude-sonnet-4-20250514;0;0;False;unit test failed;unit test failed;unit test failed;;;;;True;True;True;
claude-sonnet-4-20250514;0;1;False;unit test failed;unit test failed;unit test failed;;;;;True;True;True;
claude-sonnet-4-20250514;0;2;False;unit test failed;syntax check failed;unit test failed;unit test failed;;;;True;True;True;
claude-sonnet-4-20250514;0;3;False;unit test failed;unit test failed;unit test failed;unit test failed;unit test failed;;;True;True;True;
claude-sonnet-4-20250514;0;4;False;syntax check failed;syntax check failed;syntax check failed;syntax check failed;;;;True;True;True;
claude-sonnet-4-20250514;0;5;False;unit test failed;unit test failed;unit test failed;;;;;True;True;True;
claude-sonnet-4-20250514;0;6;False;unit test failed;syntax check failed;unit test failed;unit test failed;;;;True;True;True;
claude-sonnet-4-20250514;0;7;False;unit test failed;unit test failed;unit test failed;unit test failed;;;;True;True;True;
claude-sonnet-4-20250514;0;8;False;unit test failed;unit test failed;unit test failed;unit test failed;;;;True;True;True;
claude-sonnet-4-20250514;0;9;False;unit test failed;unit test failed;unit test failed;;;;;True;True;True;
claude-sonnet-4-20250514;1;0;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;True;True;True;True;
claude-sonnet-4-20250514;1;1;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;True;True;True;True;
claude-sonnet-4-20250514;1;2;True;syntax check failed;syntax check failed;unit tests were successful;;;;True;True;True;True;
claude-sonnet-4-20250514;1;3;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;True;True;True;True;
claude-sonnet-4-20250514;1;4;True;syntax check failed;syntax check failed;syntax check failed;syntax check failed;unit test failed;unit tests were successful;True;True;True;True;
claude-sonnet-4-20250514;1;5;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;True;True;True;True;
claude-sonnet-4-20250514;1;6;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;True;True;True;True;
claude-sonnet-4-20250514;1;7;True;syntax check failed;syntax check failed;unit tests were successful;;;;True;True;True;True;
claude-sonnet-4-20250514;1;8;True;syntax check failed;syntax check failed;unit tests were successful;;;;True;True;True;True;
claude-sonnet-4-20250514;1;9;True;syntax check failed;syntax check failed;unit tests were successful;;;;True;True;True;True;
claude-sonnet-4-20250514;10;0;True;unit tests were successful;;;;;;True;;;True;
claude-sonnet-4-20250514;10;1;True;unit test failed;unit test failed;unit tests were successful;;;;True;;;True;
claude-sonnet-4-20250514;10;2;True;unit test failed;unit test failed;unit tests were successful;;;;True;;;True;
claude-sonnet-4-20250514;10;3;True;unit test failed;unit tests were successful;;;;;True;;;True;
claude-sonnet-4-20250514;10;4;True;unit test failed;unit tests were successful;;;;;True;;;True;
claude-sonnet-4-20250514;10;5;True;unit tests were successful;;;;;;True;;;True;
claude-sonnet-4-20250514;10;6;True;unit tests were successful;;;;;;True;;;True;
claude-sonnet-4-20250514;10;7;True;unit test failed;unit tests were successful;;;;;True;;;True;
claude-sonnet-4-20250514;10;8;True;unit test failed;unit tests were successful;;;;;True;;;True;
claude-sonnet-4-20250514;10;9;True;unit test failed;unit test failed;unit tests were successful;;;;True;;;True;
claude-sonnet-4-20250514;100;0;True;syntax check failed;syntax check failed;syntax check failed;unit tests were successful;;;;True;True;;
claude-sonnet-4-20250514;100;1;True;syntax check failed;syntax check failed;unit tests were successful;;;;;True;True;;
claude-sonnet-4-20250514;100;2;True;syntax check failed;unit tests were successful;;;;;;True;True;;
claude-sonnet-4-20250514;100;3;True;syntax check failed;unit tests were successful;;;;;;True;True;;
