HumanEval/Nr;Name;Short description;String Handling;List & Array Operations;Mathematical Calculations;Logical Checks;Date & Time Operations;Database Operations (ABAP)
0;has_close_elements;Check if any two numbers in a list are closer together than a given threshold.;;X;X;X;;
1;separate_paren_groups;Split groups of nested parentheses into separate strings and return them as a list.;X;X;X;X;;
2;truncate_number;Return the decimal part of a positive floating-point number.;;;X;;;
3;below_zero;Check whether the account balance ever drops below zero during operations.;;X;X;X;;
4;mean_absolute_deviation;Compute the mean absolute deviation (MAD) around the mean of a list of numbers.;;X;X;;;
5;intersperse;Insert a separator between each pair of consecutive elements in a list.;;X;;X;;
6;parse_nested_parens;Return the deepest nesting level for each parenthesis group.;X;X;X;X;;
7;filter_by_substring;Filter a list of strings, keeping only those that contain a given substring.;X;X;;X;;
8;sum_product;Return a tuple of the sum and product of all integers in a list.;;X;X;;;
9;rolling_max;Produce a list of running maximum values in a sequence of numbers.;;X;X;X;;
10;make_palindrome;Find the shortest palindrome that starts with a given string.;X;;;X;;
11;string_xor;Perform a binary XOR operation on two binary strings and return the result as a string.;X;X;;X;;
12;longest;Return the longest string from a list of strings, or None if the list is empty.;X;X;;X;;
13;greatest_common_divisor;Return the greatest common divisor (GCD) of two integers.;;;X;X;;
14;all_prefixes;Return a list of all prefixes of a string, from shortest to longest.;X;X;;;;
15;string_sequence;Return a string of space-separated numbers from 0 to n.;X;X;;;;
16;count_distinct_characters;Count the number of unique characters in a string, ignoring case.;X;;;;;
17;parse_music;Parse a string of musical notes and return the beats per note.;X;X;;X;;
18;how_many_times;Count how many times a given substring occurs in a string, including overlaps.;X;;;;;
19;sort_numbers;Sort a string of number words from the smallest to the largest number.;X;X;;X;;
20;find_closest_elements;Find and return the two numbers in a list that are closest together.;;X;X;X;;
21;rescale_to_unit;Apply a linear transformation to a list of numbers so the smallest is 0 and the largest is 1.;;X;X;;;
22;filter_integers;Filter a list of Python values, keeping only integers.;;X;;X;;
23;strlen;Return the length of a given string.;X;;;;;
24;largest_divisor;Find the largest number that divides n evenly and is smaller than n.;;;X;X;;
25;factorize;Return a list of prime factors of an integer in ascending order.;;X;X;X;;
26;remove_duplicates;Remove all elements from a list that occur more than once, preserving order.;;X;;X;;
27;flip_case;Invert the case of characters in a string.;X;;;;;
28;concatenate;Concatenate a list of strings into a single string.;X;X;;;;
29;filter_by_prefix;Filter a list of strings, keeping only those that start with a given prefix.;X;X;;X;;
30;get_positive;Return only the positive numbers in a list.;;X;;X;;
31;is_prime;Return True if a number is prime, otherwise False.;;;X;X;;
32;find_zero;Find a root of a polynomial with given coefficients.;;X;X;X;;
33;sort_third;Sort elements at indices divisible by three, leaving others unchanged.;;X;X;X;;
34;unique;Return the sorted, unique elements in a list.;;X;;;;
35;max_element;Return the maximum element in the list.;;X;X;X;;
36;fizz_buzz;Count the occurrences of the digit '7' in given numbers.;X;X;X;X;;
37;sort_even;Sort the elements at even indices of a list, leaving others unchanged.;;X;;X;;
38;decode_cyclic;Decode a string that was encoded with encode_cyclic.;X;X;X;X;;
39;prime_fib;Return the nth number that is both a Fibonacci number and a prime number.;;X;X;X;;
40;triples_sum_to_zero;Check if three distinct elements in a list sum to zero.;;X;X;X;;
41;car_race_collision;Calculate the number of collisions in a car scenario.;;;X;;;
